Date,T2M,PRECTOTCORR,RH2M
2015-01-01,23.72,18.05,89.41
2015-01-02,23.2,18.32,89.22
2015-01-03,23.76,15.46,87.14
2015-01-04,24.14,24.74,87.23
2015-01-05,23.92,17.23,87.15
2015-01-06,23.68,1.58,85.53
2015-01-07,23.85,0.41,87.3
2015-01-08,24.04,0.15,88.48
2015-01-09,24.37,0.11,85.48
2015-01-10,24.62,0.45,84.86
2015-01-11,24.67,1.37,87.22
2015-01-12,24.27,1.69,87.73
2015-01-13,23.87,11.83,91.17
2015-01-14,24.33,3.59,87.52
2015-01-15,23.72,0.74,87.9
2015-01-16,23.93,14.36,84.46
2015-01-17,24.22,11.33,88.36
2015-01-18,23.8,18.2,88.33
2015-01-19,23.18,52.32,90.57
2015-01-20,23.08,12.57,91.65
2015-01-21,22.76,4.79,92.08
2015-01-22,23.29,10.07,91.25
2015-01-23,23.24,31.65,90.37
2015-01-24,23.81,11.23,89.79
2015-01-25,24.17,7.1,90.75
2015-01-26,23.65,3.6,91.89
2015-01-27,24.15,29.13,90.14
2015-01-28,23.88,33.07,90.52
2015-01-29,24.15,26.75,90.33
2015-01-30,23.93,19.69,91.35
2015-01-31,23.28,21.19,92.63
2015-02-01,23.45,16.61,90.27
2015-02-02,23.31,19.75,90.7
2015-02-03,24.22,10.67,86.78
2015-02-04,24.46,22.94,87.77
2015-02-05,24.03,21.18,91.02
2015-02-06,24.28,15.73,85.76
2015-02-07,24.09,3.72,86.45
2015-02-08,24.12,5.06,86.16
2015-02-09,24.74,9.66,85.82
2015-02-10,25.11,2.47,85.08
2015-02-11,24.36,13.34,89.31
2015-02-12,23.17,23.68,89.25
2015-02-13,23.81,17.15,90.64
2015-02-14,23.59,9.33,89.37
2015-02-15,25.03,15.21,83.36
2015-02-16,25.06,14.92,83.4
2015-02-17,24.96,16.4,84.37
2015-02-18,24.19,7.56,88.7
2015-02-19,24.59,19.66,85.69
2015-02-20,23.61,15.28,92.01
2015-02-21,23.33,26.95,91.9
